type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31113709,-157.8901671,21.31113709,-157.8901671,,TRUE,TRUE,,,9.27,,,2024/04/17 19:56:13+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31113457,-157.8901695,21.31113457,-157.8901695,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:14+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31113198,-157.8901721,21.31113198,-157.8901721,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:15+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31112686,-157.8901781,21.31112686,-157.8901781,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:16+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31112175,-157.8901834,21.31112175,-157.8901834,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:17+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31111756,-157.8901892,21.31111756,-157.8901892,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:18+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31111328,-157.8901949,21.31111328,-157.8901949,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:19+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31111119,-157.8901979,21.31111119,-157.8901979,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:20+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31110943,-157.8902002,21.31110943,-157.8902002,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:21+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31110775,-157.8902027,21.31110775,-157.8902027,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:22+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31110583,-157.8902049,21.31110583,-157.8902049,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:23+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31110398,-157.8902071,21.31110398,-157.8902071,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:24+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31110239,-157.890209,21.31110239,-157.890209,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:25+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31110105,-157.8902105,21.31110105,-157.8902105,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:26+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31109937,-157.8902119,21.31109937,-157.8902119,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:27+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31109795,-157.8902132,21.31109795,-157.8902132,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:28+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
TRACK,Current Track: 17 APR 2024 09:56,T1,21.31109669,-157.8902147,21.31109669,-157.8902147,,FALSE,FALSE,,,9.27,,,2024/04/17 19:56:29+00,garmin GPS 73 Worldwide Software Version 250,,4/17/2024 9:56,,
