type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,IN WATER TES,T1,21.30395656,-157.8706765,21.30395656,-157.8706765,,TRUE,TRUE,,,26.57,,,2024/04/17 00:09:27+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039564,-157.870676,21.3039564,-157.870676,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:28+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395606,-157.8706757,21.30395606,-157.8706757,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:29+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395556,-157.8706748,21.30395556,-157.8706748,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:30+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395539,-157.8706744,21.30395539,-157.8706744,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:31+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395522,-157.8706739,21.30395522,-157.8706739,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:32+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395514,-157.8706736,21.30395514,-157.8706736,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:33+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395506,-157.8706732,21.30395506,-157.8706732,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:34+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039548,-157.8706727,21.3039548,-157.8706727,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:35+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395464,-157.8706727,21.30395464,-157.8706727,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:36+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395455,-157.8706726,21.30395455,-157.8706726,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:37+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039543,-157.8706721,21.3039543,-157.8706721,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:38+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395439,-157.8706716,21.30395439,-157.8706716,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:39+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395447,-157.8706715,21.30395447,-157.8706715,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:40+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395439,-157.8706712,21.30395439,-157.8706712,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:41+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039543,-157.8706707,21.3039543,-157.8706707,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:42+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395422,-157.8706704,21.30395422,-157.8706704,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:43+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395413,-157.8706702,21.30395413,-157.8706702,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:44+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039538,-157.8706701,21.3039538,-157.8706701,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:45+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395371,-157.8706701,21.30395371,-157.8706701,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:46+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395371,-157.8706701,21.30395371,-157.8706701,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:47+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039538,-157.87067,21.3039538,-157.87067,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:48+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039538,-157.8706699,21.3039538,-157.8706699,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:49+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395405,-157.8706697,21.30395405,-157.8706697,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:50+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395413,-157.8706696,21.30395413,-157.8706696,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:51+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395422,-157.8706694,21.30395422,-157.8706694,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:52+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395439,-157.8706693,21.30395439,-157.8706693,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:53+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395455,-157.8706692,21.30395455,-157.8706692,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:54+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039548,-157.8706693,21.3039548,-157.8706693,,FALSE,FALSE,,,26.57,,,2024/04/17 00:09:55+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.3039548,-157.8706693,21.3039548,-157.8706693,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:56+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395489,-157.8706693,21.30395489,-157.8706693,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:57+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395497,-157.8706696,21.30395497,-157.8706696,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:58+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395506,-157.8706698,21.30395506,-157.8706698,,FALSE,FALSE,,,26.09,,,2024/04/17 00:09:59+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:09,,
TRACK,IN WATER TES,T1,21.30395506,-157.8706702,21.30395506,-157.8706702,,FALSE,FALSE,,,26.09,,,2024/04/17 00:10:00+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:10,,
TRACK,IN WATER TES,T1,21.30395514,-157.8706705,21.30395514,-157.8706705,,FALSE,FALSE,,,26.09,,,2024/04/17 00:10:01+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:10,,
TRACK,IN WATER TES,T1,21.30395531,-157.8706707,21.30395531,-157.8706707,,FALSE,FALSE,,,26.09,,,2024/04/17 00:10:02+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:10,,
TRACK,IN WATER TES,T1,21.30395564,-157.8706708,21.30395564,-157.8706708,,FALSE,FALSE,,,26.09,,,2024/04/17 00:10:03+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:10,,
TRACK,IN WATER TES,T1,21.30395564,-157.8706709,21.30395564,-157.8706709,,FALSE,FALSE,,,26.09,,,2024/04/17 00:10:04+00,garmin GPS 73 Worldwide Software Version 250,,4/16/2024 14:10,,
